,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
433,Masallatah,LY,42.76,32.62,14,73,0,19.22
434,Golden,CA,7.21,51.3,-116.96,76,12,1.72
435,Washougal,US,45.64,45.58,-122.35,62,1,24.16
436,Kiama,AU,80.6,-34.67,150.86,69,20,9.17
437,Comodoro Rivadavia,AR,66.2,-45.87,-67.48,42,0,9.17
438,Holme,GB,44.01,53.7,-2.31,81,90,14.99
439,Pasni,PK,70.3,25.26,63.48,99,0,14.14
440,Cascais,PT,40.93,38.7,-9.42,70,0,8.05
441,Guerrero Negro,MX,57.61,27.97,-114.04,95,76,5.01
442,Horta,ES,49.12,41.43,2.16,76,8,5.82
443,Hanover,DE,41.34,52.37,9.74,65,75,20.8
444,Fairbanks,US,-7.05,64.84,-147.72,79,1,3
445,Nome,US,45.55,30.04,-94.42,68,1,9.17
446,Bilibino,RU,-40.58,68.06,166.44,0,8,2.28
447,Nishihara,JP,43.38,35.74,139.53,52,20,9.17
448,Yeniseysk,RU,3.34,58.45,92.17,65,92,6.53
449,Vila do Maio,CV,69.8,15.13,-23.22,77,40,10.29
450,Bredy,RU,22.42,52.43,60.33,88,92,5.79
451,Hurricane,US,37.69,37.18,-113.29,88,90,6.93
452,Davila,PH,78.8,18.47,120.58,65,20,2.24
453,Luganville,VU,83.89,-15.51,167.18,100,8,3
454,Te Anau,NZ,62.83,-45.41,167.72,60,8,4.79
455,Srednekolymsk,RU,-23.84,67.46,153.71,36,56,5.08
456,Saint-Francois,FR,46.4,46.42,3.91,93,90,16.11
457,Sivas,TR,14,39.75,37.01,92,40,12.75
458,Moron,VE,65.62,10.49,-68.2,94,76,2.62
459,Finschhafen,PG,80.56,-6.6,147.85,85,68,2.51
460,Half Moon Bay,US,57.51,37.46,-122.43,66,75,14.18
461,Kieta,PG,83.62,-6.22,155.63,92,80,3.56
462,Marigot,HT,78.22,18.23,-72.32,99,64,4.85
463,Revda,RU,8.29,67.94,34.55,83,76,2.77
464,Gamba,CN,6.04,28.28,88.52,49,0,7.54
465,Dekar,BW,72.82,-21.53,21.93,69,32,5.86
466,Ubaira,BR,70.66,-13.27,-39.66,96,100,4.85
467,Minervino Murge,IT,41,41.09,16.08,75,0,8.05
468,Galesburg,US,21.25,40.95,-90.37,93,1,3.62
469,Mikkeli,FI,26.6,61.69,27.27,100,90,5.82
470,Katobu,ID,85.24,-4.94,122.53,88,80,6.8
471,Yoichi,JP,14,43.19,140.77,72,20,6.93
472,Kabanjahe,ID,77,3.1,98.49,94,40,3.36
473,Kalmunai,LK,72.82,7.42,81.82,100,92,5.01
474,Edson,CA,23,53.59,-116.44,100,1,2.39
475,Placido de Castro,BR,73.54,-10.34,-67.19,96,20,2.21
476,Darhan,MN,-5.84,49.49,105.92,65,24,3.11
477,Ubinskoye,RU,9.46,55.31,79.68,77,68,13.8
478,Aldama,MX,68.86,22.92,-98.09,97,92,13.13
479,Bougouni,ML,66.88,11.42,-7.49,32,0,10.04
480,Praya,ID,84.2,-8.71,116.27,83,40,5.82
481,Santa Luzia,BR,75.2,-19.77,-43.85,57,0,6.93
482,Shymkent,KZ,30.2,42.31,69.59,74,0,2.24
483,Ipameri,BR,69.4,-17.72,-48.16,87,24,3.89
484,Vendome,US,16.81,45.82,-112.24,72,1,5.82
485,Poya,NC,77.59,-21.35,165.16,100,12,22.46
486,Kalabo,ZM,64.72,-15,22.67,99,92,11.34
487,Moquegua,PE,56.08,-17.19,-70.93,91,12,0.72
488,Bahia Blanca,AR,68.5,-38.72,-62.27,94,0,14.81
489,Verkhoyansk,RU,-52.55,67.55,133.39,0,20,2.62
490,Isiro,CD,69.04,2.77,27.62,85,24,2.06
491,Susangerd,IR,60.8,31.56,48.19,87,90,2.24
492,Ulcinj,ME,36.41,41.93,19.22,100,90,2.24
493,Doha,QA,63.7,25.29,51.53,88,0,4.7
494,Smithers,CA,33.8,54.78,-127.17,100,90,5.82
495,Samarinda,ID,79.66,-0.5,117.14,87,80,2.89
496,Rorvik,NO,37,64.86,11.24,100,8,37.22
497,Igunga,TZ,62.11,-4.28,33.88,96,92,3.51
498,Amahai,ID,84.88,-3.31,129,99,0,7.54
499,Pandan,PH,80.2,11.72,122.09,99,20,21.74
500,Krupina,SK,33.8,48.35,19.07,95,90,9.17
501,Kampong Thum,KH,85.78,12.71,104.89,46,8,9.93
502,Casas Grandes,MX,49.42,30.15,-110.24,69,56,1.99
503,Teya,MX,75.2,21.05,-89.07,73,5,4.7
504,Balkhash,KZ,8.11,46.84,74.98,72,0,12.8
505,Mosquera,CO,55.4,4.71,-74.23,87,75,4.7
506,Pyapon,MM,80.02,16.29,95.68,77,48,6.8
507,Livada,RO,31.96,47.86,23.12,94,92,14.99
508,Tres Arroyos,AR,64.09,-38.38,-60.28,97,92,10.16
509,Garmsar,IR,34.84,35.22,52.34,88,76,1.28
510,Shaunavon,CA,21.52,49.65,-108.41,75,0,5.91
511,Kurilsk,RU,26.83,45.23,147.88,100,44,9.37
512,Contamana,PE,75.61,-7.35,-75.01,92,56,0.76
513,Esna,RO,24.22,45.2,27.57,98,76,10.89
514,Matagami,NG,63.28,9.67,8.4,32,0,7.14
515,Morondava,MG,75.61,-20.3,44.28,100,56,4.52
516,Nongstoin,IN,60.76,25.52,91.27,88,8,2.84
517,Juneau,US,34.34,58.3,-134.42,100,90,6.93
518,Gat,SN,69.8,14.69,-16.54,83,8,12.75
519,Lasa,CY,46.4,34.92,32.53,87,88,3.36
520,Otsuchi,JP,28.4,39.38,141.88,74,20,5.82
521,Limon,US,24.8,39.26,-103.69,100,90,8.05
522,Stevens Point,US,23.54,44.52,-89.57,90,90,4.85
523,Carballo,ES,47.21,43.21,-8.69,87,88,2.73
524,Thaton,MM,80.38,16.91,97.37,94,24,4.9
525,Storforshei,NO,6.04,66.4,14.52,87,48,2.33
526,Presidente Olegario,BR,64.54,-18.42,-46.42,97,20,4.23
527,Saint-Pierre,FR,44.02,48.95,4.24,93,48,24.16
528,Gibara,CU,73.4,21.11,-76.13,88,20,3.36
529,Clyde River,CA,-31.01,70.47,-68.59,66,20,6.93
530,Lat Yao,TH,83.26,15.75,99.79,67,56,4.29
531,Poum,MK,3.79,41.28,20.71,55,0,1.88
532,Mitsamiouli,KM,78.85,-11.38,43.28,100,92,1.5
533,Les Cayes,HT,77.68,18.19,-73.75,100,44,5.35
534,Alpena,US,21.22,45.06,-83.43,80,90,4.7
535,Muroto,JP,51.8,33.37,134.14,37,20,6.93
536,Bhadra,IN,44.38,29.1,75.17,91,0,7.87
537,Boyolangu,ID,81.82,-8.09,111.9,86,44,4.12
538,Atambua,ID,77.68,-9.11,124.89,100,92,10.89
539,Newport,GB,45.99,51.59,-3,70,90,10.29
540,Dandong,CN,28.09,40.12,124.37,51,24,3.74
541,Zhifang,CN,39.2,30.35,114.31,86,92,6.71
542,Peddapuram,IN,66.2,17.08,82.14,93,20,9.17
543,Ambunti,PG,88.66,-4.22,142.82,69,36,3.06
544,Gurupi,BR,73.9,-11.73,-49.07,84,44,4.56
545,Rincon,US,48.2,32.3,-81.24,92,90,8.05
546,Altayskoye,RU,-7.1,51.95,85.34,30,0,2.55
547,Khandyga,RU,-49.49,62.65,135.58,0,12,2.55
548,Necochea,AR,65.17,-38.55,-58.74,96,88,9.37
549,Kirovskiy,RU,22.51,45.09,133.51,67,76,3.22
550,Palu,ID,76.33,-0.9,119.87,75,64,1.88
551,Vostok,RU,18.28,46.45,135.83,72,56,2.84
552,Ola,RU,8.56,59.58,151.3,100,80,11.05
553,Farah,AF,33.22,32.37,62.11,77,0,3.51
554,Capreol,CA,1.4,46.71,-80.92,64,5,8.05
555,Ampanihy,MG,71.38,-24.69,44.75,94,88,3.06
556,Gorontalo,ID,84.52,0.54,123.06,73,36,2.62
557,Buala,SB,87.49,-8.15,159.59,75,0,7.54
558,Kasama,ZM,61.75,-10.21,31.19,98,92,1.54
559,Pangkalanbuun,ID,81.82,-2.68,111.62,100,32,4.29
560,Giyani,ZA,73.27,-23.32,30.73,83,20,6.53
561,Kango,GA,73.99,0.19,10.1,96,92,1.88
562,General Roca,AR,69.8,-39.03,-67.58,56,0,5.35
563,Ansbach,DE,40.14,49.3,10.57,80,20,18.34
564,Kodinsk,RU,-14.75,58.6,99.18,44,68,5.23
565,Tabuk,PH,72.91,17.41,121.44,71,0,2.51
566,Luderitz,NA,60.58,-26.65,15.16,89,0,12.8
567,Portland,US,45.61,45.52,-122.67,49,20,26.4
568,Manoel Urbano,BR,73.54,-8.84,-69.26,97,80,2.21
569,Alibag,IN,71.6,18.64,72.88,53,0,3.36
570,Lorengau,PG,84.07,-2.02,147.27,97,88,15.19
571,Greifswald,DE,35.65,54.1,13.38,95,64,26.71
572,Marsa Matruh,EG,50,31.35,27.25,87,75,11.41
573,Hobyo,SO,75.52,5.35,48.53,79,88,16.37
574,Sokoto,NG,62.11,13.06,5.24,33,0,11.39
575,Fraserburgh,GB,35.6,57.69,-2.02,93,40,10.29
576,Coahuayana,MX,60.58,18.62,-100.35,88,0,2.21
577,Nyazepetrovsk,RU,18.1,56.06,59.6,82,48,3.89
578,Ambon,FR,50,47.55,-2.56,87,90,9.17
579,Najran,SA,55.4,17.54,44.22,67,0,1.99
580,Gabu,CN,15.67,34.78,103,65,68,3.56
581,Rosario do Sul,BR,74.26,-30.26,-54.91,96,12,6.24
582,Isangel,VU,82.4,-19.55,169.27,94,75,9.78
583,Shenkursk,RU,22.24,62.11,42.91,82,76,5.86
584,Domazlice,CZ,39.2,49.44,12.93,86,75,8.05
585,Plouzane,FR,50,48.38,-4.62,93,90,10.29
586,Teahupoo,PF,82.4,-17.83,-149.27,74,90,16.11
587,Providencia,CO,48.34,1.24,-77.6,91,24,1.88
588,Toul,FR,43.16,48.68,5.89,93,88,11.41
589,Rimini,IT,36.91,44.06,12.57,86,0,5.82
590,Puerto Madero,AR,72.79,-34.61,-58.36,83,40,8.05
591,Tokur,RU,-2.33,53.13,132.9,66,76,2.89
592,Yako,BF,64.36,12.96,-2.26,24,0,10.11
593,Aklavik,CA,-23.81,68.22,-135.01,67,20,9.17
594,Soyo,AO,75.61,-6.13,12.37,96,92,3.62
595,Tevaitoa,PF,81.82,-16.78,-151.5,100,80,15.19
596,Asyut,EG,46.4,27.18,31.19,70,0,14.99
597,Alekseyevsk,RU,-11.06,57.84,108.35,36,48,8.66
598,Berdigestyakh,RU,-23.21,62.1,126.7,34,32,5.57
599,Morgan City,US,44.94,29.7,-91.21,71,90,5.82
600,Aksu,KZ,1.4,52.04,76.93,84,0,13.42
601,Quincy,US,53.06,30.59,-84.58,76,75,5.82
602,Lodja,CD,67.78,-3.52,23.6,97,80,2.33
603,Bonneville,FR,41.59,46.08,6.41,87,75,3.36
604,Meulaboh,ID,80.56,4.14,96.13,100,0,5.35
605,Buin,CL,68,-33.73,-70.74,56,40,9.17
